transaction_id,transaction_time,transaction_amount,location,device_type,channel,card_present,customer_age,merchant_category,is_fraud
TXN000033,14,385.91,Bangalore,Tablet,POS,No,43,Entertainment,0
TXN000034,18,3407.24,Chennai,Desktop,POS,Yes,50,Travel,0
TXN000035,11,4103.29,Delhi,Tablet,POS,Yes,46,Entertainment,0
TXN000036,22,2166.17,Kolkata,Mobile,POS,Yes,45,Grocery,0
TXN000037,19,246.08,Kolkata,POS,Online,No,36,Food,0
TXN000038,2,105.91,Chennai,Mobile,POS,No,41,Travel,0
TXN000039,4,8332.67,Mumbai,POS,POS,Yes,63,Grocery,0
TXN000040,18,893.25,Chennai,Mobile,POS,No,39,Electronics,0
TXN000041,6,1429.12,Delhi,Mobile,POS,Yes,30,Entertainment,0
TXN000042,20,4758.3,Mumbai,Mobile,Online,Yes,57,Grocery,0
TXN000043,8,3506.4,Chennai,Tablet,Online,Yes,56,Electronics,0
TXN000044,6,10379.57,Hyderabad,Mobile,POS,No,19,Grocery,0
TXN000045,17,292.31,Chennai,POS,POS,Yes,69,Clothing,0
TXN000046,3,3681.92,Chennai,POS,POS,Yes,60,Grocery,0
TXN000047,13,257.42,Hyderabad,POS,Online,Yes,20,Clothing,0
TXN000048,17,0.5,Hyderabad,Mobile,Online,No,27,Travel,0
TXN000049,8,384.29,Bangalore,Tablet,Online,No,28,Travel,0
TXN000050,20,2877.01,Hyderabad,Mobile,Online,No,56,Travel,0
TXN000051,1,3382.82,Chennai,Desktop,Online,No,27,Electronics,1
TXN000052,19,1730.58,Delhi,Mobile,Online,Yes,22,Electronics,0
TXN000053,14,141.5,Kolkata,Tablet,POS,Yes,30,Clothing,0
TXN000054,6,3015.85,Delhi,Tablet,POS,Yes,39,Food,0
TXN000055,11,269.18,Chennai,POS,Online,Yes,32,Electronics,0
TXN000056,7,458.5,Mumbai,POS,Online,No,43,Clothing,0
TXN000057,14,2155.86,Bangalore,Tablet,Online,Yes,37,Grocery,0
TXN000058,2,1248.24,Bangalore,Desktop,POS,Yes,23,Grocery,0
TXN000059,13,1875.09,Hyderabad,Mobile,Online,No,67,Travel,0
TXN000060,16,3024.21,Bangalore,POS,POS,No,38,Clothing,0
TXN000061,3,523.09,Hyderabad,POS,POS,No,21,Travel,0
TXN000062,17,6707.21,Mumbai,Mobile,Online,Yes,21,Travel,0
TXN000063,7,2459.4,Mumbai,Desktop,Online,Yes,67,Food,0
TXN000064,3,67.02,Mumbai,POS,POS,Yes,61,Travel,0
TXN000065,1,2970.24,Mumbai,Desktop,Online,No,36,Food,0
TXN000066,5,1866.27,Delhi,POS,Online,Yes,29,Travel,0
TXN000067,21,3628.35,Kolkata,Desktop,POS,No,63,Travel,0
TXN000068,9,4597.9,Mumbai,POS,POS,No,66,Food,0
TXN000069,3,8383.02,Hyderabad,Mobile,POS,No,63,Entertainment,0
TXN000070,21,19213.3,Kolkata,Desktop,POS,Yes,50,Travel,0
TXN000071,17,2392.97,Chennai,Desktop,Online,Yes,23,Food,0
TXN000072,11,2473.24,Kolkata,Mobile,Online,Yes,22,Clothing,0
TXN000073,1,68.1,Chennai,POS,Online,Yes,58,Clothing,0
TXN000074,9,6011.23,Bangalore,Mobile,POS,No,22,Grocery,0
TXN000075,3,87.42,Chennai,POS,Online,No,41,Grocery,0
TXN000076,13,3004.44,Delhi,POS,POS,No,44,Food,0
TXN000077,15,311.34,Chennai,Mobile,Online,No,66,Food,0
TXN000078,14,1009.94,Bangalore,Desktop,POS,No,69,Grocery,0
TXN000079,7,453.62,Bangalore,Mobile,Online,Yes,23,Travel,0
TXN000080,13,443.39,Hyderabad,Mobile,POS,No,61,Food,0
TXN000081,22,232.59,Kolkata,Desktop,POS,Yes,19,Electronics,0
TXN000082,7,1147.66,Kolkata,Desktop,Online,No,56,Clothing,0
TXN000083,20,1653.13,Hyderabad,Tablet,POS,No,67,Clothing,0
TXN000084,15,1873.51,Bangalore,Desktop,Online,Yes,64,Food,0
TXN000085,12,1737.89,Chennai,Mobile,POS,No,54,Clothing,0
TXN000086,17,2225.07,Hyderabad,Desktop,Online,Yes,49,Grocery,0
TXN000087,14,5893.78,Chennai,Tablet,POS,Yes,57,Entertainment,0
TXN000088,20,2997.36,Mumbai,Mobile,POS,Yes,37,Food,0
TXN000089,23,52.31,Hyderabad,POS,POS,No,45,Grocery,0
TXN000090,12,569.68,Delhi,POS,Online,Yes,63,Clothing,0
TXN000091,8,1287.51,Chennai,Tablet,Online,Yes,28,Entertainment,0
TXN000092,14,8930.36,Hyderabad,Desktop,POS,No,52,Entertainment,0
TXN000093,12,243.89,Hyderabad,Desktop,Online,Yes,30,Food,0
TXN000094,0,3714.86,Bangalore,Desktop,POS,No,56,Grocery,0
TXN000095,6,100.96,Delhi,POS,POS,Yes,49,Travel,0
TXN000096,8,1350.78,Kolkata,Mobile,POS,No,50,Electronics,0
TXN000097,23,4410.97,Bangalore,POS,POS,Yes,40,Grocery,0
TXN000098,0,1264.46,Bangalore,POS,Online,Yes,31,Electronics,0
TXN000099,11,1687.84,Kolkata,Desktop,Online,No,65,Food,1
TXN000100,7,7071.27,Chennai,Mobile,POS,Yes,28,Travel,0
TXN000101,23,205.38,Kolkata,Mobile,POS,No,25,Travel,0
TXN000102,10,2250.18,Bangalore,Mobile,POS,No,37,Entertainment,0
TXN000103,18,1368.24,Chennai,POS,POS,No,37,Grocery,0
TXN000104,16,9957.06,Hyderabad,Mobile,Online,Yes,24,Electronics,0
TXN000105,7,4735.12,Hyderabad,POS,POS,Yes,56,Travel,0
TXN000106,2,390.59,Kolkata,Desktop,Online,No,67,Food,0
TXN000107,2,7868.77,Chennai,Tablet,Online,No,37,Food,1
TXN000108,0,711.78,Hyderabad,POS,Online,No,42,Food,0
TXN000109,4,265.9,Delhi,POS,Online,Yes,43,Electronics,0
TXN000110,9,2340.0,Chennai,Desktop,Online,No,39,Entertainment,0
TXN000111,6,4002.6,Hyderabad,Tablet,POS,No,64,Food,0
TXN000112,8,3776.88,Hyderabad,Tablet,Online,No,67,Grocery,0
TXN000113,6,2291.07,Hyderabad,POS,POS,No,19,Food,0
TXN000114,8,2036.18,Bangalore,Desktop,POS,Yes,58,Travel,0
TXN000115,7,10474.41,Kolkata,Tablet,Online,No,61,Electronics,0
TXN000116,11,5153.72,Chennai,Mobile,Online,No,33,Travel,0
TXN000117,1,3598.35,Mumbai,Desktop,POS,Yes,27,Food,0
TXN000118,0,651.53,Kolkata,Desktop,POS,Yes,32,Food,0
TXN000119,15,5140.58,Kolkata,Mobile,POS,No,46,Electronics,0
TXN000120,22,4156.25,Mumbai,Mobile,Online,No,56,Electronics,0
TXN000121,22,14494.93,Chennai,Mobile,POS,No,28,Grocery,0
TXN000122,23,428.13,Delhi,POS,Online,Yes,66,Food,0
TXN000123,4,3768.91,Bangalore,POS,Online,No,69,Entertainment,0
TXN000124,2,11601.61,Delhi,POS,POS,Yes,37,Clothing,0
TXN000125,11,1863.0,Bangalore,Desktop,POS,Yes,59,Clothing,0
TXN000126,7,3966.14,Bangalore,POS,Online,No,44,Clothing,0
TXN000127,21,11111.45,Kolkata,POS,Online,Yes,51,Entertainment,0
TXN000128,2,2378.8,Bangalore,POS,Online,No,55,Food,0
TXN000129,0,3602.35,Kolkata,Desktop,POS,Yes,49,Grocery,0
TXN000130,2,60.87,Mumbai,POS,POS,Yes,24,Entertainment,0
TXN000131,4,2199.82,Bangalore,Tablet,POS,Yes,25,Food,0
TXN000132,14,886.34,Mumbai,Tablet,Online,No,44,Clothing,0
TXN000133,13,422.08,Delhi,POS,POS,No,58,Food,0
TXN000134,2,3699.16,Kolkata,Tablet,Online,No,45,Travel,0
TXN000135,0,119.62,Kolkata,Desktop,Online,No,62,Travel,0
TXN000136,4,7057.38,Chennai,Tablet,Online,Yes,37,Food,0
TXN000137,22,2188.03,Bangalore,POS,POS,No,50,Grocery,0
TXN000138,13,3134.33,Chennai,Mobile,POS,Yes,58,Electronics,0
TXN000139,6,876.82,Chennai,Desktop,Online,No,39,Clothing,0
TXN000140,8,603.39,Mumbai,Tablet,POS,Yes,52,Electronics,0
TXN000141,14,838.16,Kolkata,POS,Online,Yes,28,Travel,0
TXN000142,14,793.04,Hyderabad,Desktop,POS,Yes,39,Grocery,0
TXN000143,9,5996.39,Mumbai,POS,POS,No,66,Travel,0
TXN000144,12,4644.17,Hyderabad,POS,Online,Yes,19,Grocery,0
TXN000145,18,5746.6,Kolkata,Tablet,POS,No,21,Electronics,0
TXN000146,6,3982.63,Kolkata,Desktop,Online,Yes,34,Travel,0
TXN000147,16,3094.69,Chennai,Mobile,Online,No,67,Food,0
TXN000148,19,2251.53,Mumbai,Mobile,POS,No,60,Electronics,0
TXN000149,3,925.62,Mumbai,Desktop,POS,Yes,28,Food,0
TXN000150,4,3666.03,Hyderabad,Desktop,Online,No,32,Food,0
TXN000151,22,440.58,Kolkata,Mobile,POS,No,24,Clothing,0
TXN000152,6,2146.56,Mumbai,POS,Online,Yes,57,Grocery,0
TXN000153,12,651.76,Bangalore,Desktop,Online,Yes,30,Entertainment,0
TXN000154,14,2108.13,Mumbai,Mobile,Online,No,35,Grocery,0
TXN000155,10,1044.03,Delhi,Tablet,POS,Yes,27,Entertainment,0
TXN000156,3,164.89,Mumbai,Tablet,POS,No,20,Clothing,0
TXN000157,12,2101.78,Bangalore,Mobile,Online,No,61,Food,0
TXN000158,6,602.06,Hyderabad,Mobile,POS,No,34,Grocery,0
TXN000159,18,527.19,Mumbai,Mobile,POS,No,53,Grocery,0
TXN000160,21,1455.31,Bangalore,POS,POS,No,27,Food,0
TXN000161,1,1347.25,Delhi,POS,Online,No,25,Grocery,0
TXN000162,9,6051.27,Hyderabad,POS,POS,Yes,54,Clothing,0
TXN000163,12,2494.73,Chennai,Mobile,Online,No,36,Electronics,0
TXN000164,20,5784.13,Kolkata,Mobile,Online,No,28,Food,0
TXN000165,5,476.41,Kolkata,Desktop,Online,Yes,44,Grocery,0
TXN000166,11,1326.28,Kolkata,POS,Online,Yes,43,Clothing,0
TXN000167,11,2431.27,Delhi,POS,POS,Yes,56,Food,0
TXN000168,19,498.62,Delhi,Mobile,POS,No,62,Food,0
TXN000169,10,411.09,Bangalore,POS,Online,No,20,Clothing,0
TXN000170,22,3248.82,Delhi,Desktop,POS,No,23,Clothing,0
TXN000171,6,3182.51,Chennai,Tablet,POS,Yes,68,Entertainment,0
TXN000172,0,800.34,Bangalore,Tablet,POS,Yes,32,Grocery,0
TXN000173,0,772.91,Chennai,Tablet,Online,No,39,Grocery,0
TXN000174,19,4104.72,Chennai,Desktop,POS,Yes,47,Entertainment,0
TXN000175,12,373.25,Hyderabad,Mobile,POS,Yes,34,Grocery,0
TXN000176,8,7702.13,Mumbai,Mobile,Online,Yes,28,Electronics,0
TXN000177,2,8633.24,Kolkata,Tablet,POS,Yes,41,Grocery,0
TXN000178,6,6143.65,Chennai,Tablet,POS,No,20,Clothing,0
TXN000179,5,709.74,Kolkata,Tablet,Online,No,61,Grocery,0
TXN000180,7,50.83,Bangalore,Tablet,Online,No,55,Travel,0
TXN000181,8,8279.18,Kolkata,POS,POS,No,57,Grocery,0
TXN000182,4,1264.65,Delhi,POS,POS,No,41,Entertainment,0
TXN000183,0,1114.98,Kolkata,POS,Online,No,41,Food,0
TXN000184,18,910.12,Delhi,POS,POS,No,68,Food,0
TXN000185,9,841.27,Mumbai,Desktop,POS,Yes,30,Food,0
TXN000186,11,3979.02,Mumbai,Mobile,POS,Yes,56,Clothing,0
TXN000187,23,7154.43,Chennai,Desktop,Online,Yes,46,Grocery,0
TXN000188,14,4626.13,Delhi,Tablet,POS,Yes,58,Entertainment,0
TXN000189,21,3363.57,Delhi,Mobile,POS,No,25,Entertainment,0
TXN000190,23,1018.01,Kolkata,POS,POS,Yes,25,Clothing,0
TXN000191,8,2375.35,Mumbai,Tablet,POS,Yes,25,Grocery,0
TXN000192,19,811.36,Delhi,Tablet,Online,Yes,66,Clothing,0
TXN000193,16,354.69,Bangalore,POS,Online,No,38,Entertainment,0
TXN000194,16,384.5,Mumbai,Mobile,Online,Yes,65,Electronics,0
TXN000195,19,2777.27,Chennai,Tablet,POS,Yes,48,Food,0
TXN000196,11,117.72,Chennai,POS,Online,No,65,Food,0
TXN000197,6,10864.17,Hyderabad,Tablet,Online,Yes,51,Travel,0
TXN000198,1,16188.76,Mumbai,Mobile,Online,Yes,47,Electronics,0
TXN000199,2,485.53,Delhi,Desktop,POS,No,66,Travel,0
TXN000200,16,1672.19,Chennai,Mobile,POS,Yes,24,Clothing,0
TXN000201,4,4384.04,Mumbai,Tablet,POS,No,64,Electronics,0
TXN000202,16,9307.74,Kolkata,Desktop,POS,No,51,Entertainment,0
TXN000203,23,6658.07,Delhi,Mobile,Online,Yes,63,Travel,0
TXN000204,16,882.13,Mumbai,Tablet,Online,Yes,58,Electronics,0
TXN000205,16,267.14,Kolkata,Tablet,Online,Yes,67,Travel,0
TXN000206,1,1022.11,Bangalore,Desktop,Online,Yes,34,Travel,0
TXN000207,1,1724.69,Chennai,POS,Online,No,19,Food,0
TXN000208,21,1338.57,Mumbai,Desktop,Online,Yes,69,Food,0
TXN000209,22,4459.92,Hyderabad,Desktop,POS,Yes,38,Grocery,0
TXN000210,4,894.36,Delhi,POS,Online,Yes,40,Grocery,0
TXN000211,0,5869.28,Kolkata,POS,POS,No,54,Entertainment,0
TXN000212,0,767.13,Mumbai,Desktop,Online,Yes,26,Grocery,0
TXN000213,18,1345.21,Mumbai,POS,Online,Yes,42,Food,1
TXN000214,1,1781.58,Kolkata,POS,Online,Yes,26,Electronics,0
TXN000215,20,1032.62,Hyderabad,Mobile,POS,No,50,Food,0
TXN000216,11,4362.08,Mumbai,POS,Online,No,50,Food,0
TXN000217,5,1580.6,Delhi,Mobile,Online,Yes,29,Food,0
TXN000218,22,6541.79,Chennai,Tablet,Online,No,66,Food,0
TXN000219,3,9938.62,Delhi,POS,POS,Yes,67,Food,1
TXN000220,22,5894.21,Delhi,POS,Online,No,53,Clothing,0
TXN000221,10,2218.36,Chennai,Mobile,Online,Yes,58,Entertainment,0
TXN000222,23,2138.88,Hyderabad,POS,Online,Yes,39,Food,0
TXN000223,16,729.55,Mumbai,Mobile,Online,No,46,Food,0
TXN000224,5,2691.51,Kolkata,Tablet,POS,Yes,31,Food,0
TXN000225,23,9155.37,Kolkata,POS,POS,No,53,Grocery,0
TXN000226,4,252.12,Bangalore,POS,Online,Yes,30,Clothing,0
TXN000227,19,4188.52,Delhi,Desktop,POS,Yes,35,Clothing,0
TXN000228,1,6110.06,Chennai,Tablet,Online,No,52,Clothing,1
TXN000229,5,12960.76,Kolkata,Mobile,POS,No,49,Entertainment,0
TXN000230,21,1222.81,Chennai,POS,Online,No,39,Electronics,0
TXN000231,10,1318.19,Kolkata,POS,POS,Yes,28,Food,0
TXN000232,15,783.22,Chennai,POS,Online,No,49,Travel,0
TXN000233,15,4668.6,Delhi,POS,POS,Yes,58,Entertainment,0
TXN000234,0,452.61,Bangalore,Tablet,POS,No,23,Food,0
TXN000235,8,934.97,Bangalore,Tablet,Online,Yes,42,Electronics,0
TXN000236,5,1049.79,Delhi,Desktop,Online,No,23,Travel,0
TXN000237,15,1409.68,Hyderabad,POS,POS,Yes,53,Food,0
TXN000238,2,1642.81,Hyderabad,Tablet,Online,No,20,Electronics,0
TXN000239,19,2456.3,Mumbai,Desktop,POS,No,57,Electronics,0
TXN000240,3,8891.15,Mumbai,Desktop,POS,Yes,23,Travel,0
TXN000241,18,852.18,Chennai,Tablet,Online,Yes,65,Entertainment,0
TXN000242,2,4531.77,Delhi,Tablet,Online,Yes,31,Clothing,0
TXN000243,18,3384.65,Delhi,Tablet,Online,No,26,Electronics,0
TXN000244,19,370.07,Chennai,Tablet,POS,Yes,37,Travel,0
TXN000245,6,4988.15,Chennai,POS,POS,Yes,39,Entertainment,0
TXN000246,19,284.95,Kolkata,POS,Online,No,34,Travel,0
TXN000247,8,4028.86,Bangalore,Desktop,Online,No,18,Electronics,0
TXN000248,0,3774.09,Kolkata,Tablet,POS,No,52,Travel,0
TXN000249,7,3507.77,Chennai,POS,POS,No,57,Clothing,0
TXN000250,6,971.76,Chennai,Desktop,POS,No,26,Travel,0
TXN000251,17,2555.49,Chennai,Tablet,Online,Yes,18,Clothing,0
TXN000252,7,4301.14,Kolkata,POS,Online,Yes,30,Food,0
TXN000253,0,3044.95,Bangalore,POS,Online,No,57,Electronics,0
TXN000254,10,4893.6,Chennai,POS,POS,No,59,Electronics,0
TXN000255,17,3493.13,Mumbai,POS,Online,Yes,21,Travel,0
TXN000256,22,962.48,Bangalore,Tablet,POS,Yes,41,Food,0
TXN000257,9,498.36,Mumbai,Desktop,Online,Yes,32,Grocery,0
TXN000258,2,2998.85,Mumbai,Desktop,POS,Yes,34,Grocery,0
TXN000259,6,4278.33,Bangalore,Desktop,POS,No,46,Clothing,0
TXN000260,15,460.58,Mumbai,POS,Online,Yes,65,Electronics,0
TXN000261,15,576.46,Delhi,Desktop,Online,No,67,Grocery,0
TXN000262,19,36.43,Kolkata,Tablet,POS,No,37,Clothing,0
TXN000263,16,2276.25,Chennai,Tablet,POS,Yes,28,Electronics,0
TXN000264,1,2344.57,Delhi,POS,POS,No,32,Travel,0
TXN000265,0,2079.9,Chennai,POS,POS,No,39,Electronics,0
TXN000266,15,1139.44,Chennai,Tablet,Online,Yes,29,Travel,0
TXN000267,11,1674.86,Delhi,Tablet,POS,No,21,Travel,0
TXN000268,4,4360.34,Chennai,Tablet,Online,No,18,Grocery,0
TXN000269,4,601.93,Bangalore,Desktop,POS,No,43,Travel,0
TXN000270,22,675.24,Kolkata,Desktop,Online,Yes,65,Food,0
TXN000271,8,3298.64,Chennai,Mobile,POS,Yes,28,Food,0
TXN000272,8,6049.98,Kolkata,Mobile,POS,Yes,59,Entertainment,0
TXN000273,2,1248.34,Hyderabad,Mobile,POS,Yes,38,Entertainment,0
TXN000274,18,8097.76,Mumbai,POS,Online,No,35,Food,0
TXN000275,15,178.22,Chennai,Mobile,Online,Yes,54,Grocery,0
TXN000276,15,378.46,Mumbai,Desktop,POS,No,59,Travel,0
TXN000277,2,1848.33,Kolkata,Desktop,POS,Yes,48,Food,0
TXN000278,19,3856.47,Delhi,Mobile,Online,No,32,Grocery,0
TXN000279,23,1390.09,Kolkata,Desktop,POS,No,67,Entertainment,0
TXN000280,21,2427.34,Bangalore,POS,Online,No,38,Food,0
TXN000281,23,86.96,Bangalore,Mobile,POS,No,61,Electronics,0
TXN000282,0,1858.77,Kolkata,Desktop,Online,Yes,35,Electronics,0
TXN000283,23,833.49,Kolkata,Tablet,POS,Yes,20,Grocery,0
TXN000284,19,2179.3,Mumbai,Mobile,POS,Yes,40,Entertainment,0
TXN000285,10,2238.59,Mumbai,Desktop,Online,Yes,29,Food,0
TXN000286,16,4197.03,Chennai,Tablet,POS,Yes,45,Clothing,0
TXN000287,7,2328.55,Mumbai,Mobile,POS,Yes,38,Entertainment,0
TXN000288,3,2857.85,Hyderabad,POS,Online,Yes,39,Travel,0
TXN000289,5,2262.81,Delhi,Mobile,POS,Yes,34,Entertainment,0
TXN000290,7,13930.93,Delhi,Mobile,Online,Yes,35,Travel,0
TXN000291,19,4705.17,Hyderabad,Tablet,Online,No,31,Travel,0
TXN000292,2,4227.4,Mumbai,Mobile,Online,No,49,Entertainment,0
TXN000293,15,2960.62,Hyderabad,Desktop,Online,No,24,Food,0
TXN000294,2,2254.69,Kolkata,Desktop,Online,Yes,22,Food,0
TXN000295,17,1268.25,Kolkata,Mobile,Online,Yes,40,Grocery,0
TXN000296,13,4596.99,Delhi,Desktop,POS,Yes,21,Electronics,0
TXN000297,17,630.72,Kolkata,Mobile,Online,No,53,Electronics,0
TXN000298,1,111.7,Bangalore,POS,Online,Yes,58,Travel,0
TXN000299,21,3593.69,Kolkata,Desktop,POS,No,41,Clothing,0
TXN000300,2,469.44,Delhi,POS,POS,No,62,Clothing,0
TXN000301,15,7024.79,Chennai,Tablet,Online,No,46,Travel,0
TXN000302,8,4417.93,Mumbai,Mobile,Online,No,22,Grocery,0
TXN000303,3,2765.75,Mumbai,POS,POS,Yes,34,Travel,0
TXN000304,0,1130.3,Chennai,POS,Online,Yes,35,Food,0
TXN000305,3,3047.86,Bangalore,Tablet,POS,Yes,59,Clothing,0
TXN000306,0,1943.7,Bangalore,Tablet,Online,No,44,Electronics,0
TXN000307,13,1032.33,Chennai,POS,Online,No,47,Entertainment,0
TXN000308,20,8705.58,Kolkata,Tablet,Online,Yes,29,Grocery,0
TXN000309,15,529.82,Delhi,Mobile,POS,No,32,Food,0
TXN000310,19,4199.77,Bangalore,Tablet,Online,No,42,Clothing,0
TXN000311,23,4828.89,Bangalore,Tablet,POS,Yes,60,Entertainment,0
TXN000312,7,9096.85,Chennai,POS,POS,Yes,56,Travel,0
TXN000313,6,2391.64,Hyderabad,Desktop,Online,Yes,64,Travel,0
TXN000314,2,2296.35,Chennai,Mobile,Online,Yes,50,Clothing,0
TXN000315,16,7588.05,Bangalore,POS,Online,No,63,Food,0
TXN000316,0,4844.76,Kolkata,Tablet,Online,No,59,Travel,0
TXN000317,15,4327.15,Hyderabad,Mobile,Online,No,47,Travel,0
TXN000318,11,4669.64,Mumbai,POS,POS,Yes,19,Food,0
TXN000319,18,2038.8,Mumbai,POS,POS,Yes,23,Clothing,0
TXN000320,21,126.9,Mumbai,Tablet,Online,No,68,Clothing,0
TXN000321,22,662.93,Hyderabad,Desktop,POS,No,41,Grocery,0
TXN000322,21,3089.99,Mumbai,Desktop,Online,Yes,63,Entertainment,0
TXN000323,13,1513.37,Bangalore,Tablet,Online,Yes,36,Travel,0
TXN000324,5,2800.08,Bangalore,Desktop,POS,No,34,Entertainment,0
TXN000325,5,2406.73,Mumbai,POS,Online,No,18,Food,0
TXN000326,12,1732.29,Mumbai,POS,Online,No,36,Electronics,0
TXN000327,18,802.57,Kolkata,Mobile,POS,No,25,Food,0
TXN000328,21,3807.77,Kolkata,POS,POS,Yes,69,Clothing,0
TXN000329,7,7192.18,Hyderabad,POS,Online,No,53,Grocery,0
TXN000330,1,4408.55,Kolkata,Desktop,POS,No,59,Travel,0
TXN000331,20,383.63,Delhi,Tablet,Online,No,26,Clothing,0
TXN000332,0,2316.24,Kolkata,Tablet,POS,Yes,67,Food,0
TXN000333,14,5412.09,Kolkata,Mobile,POS,Yes,62,Food,0
TXN000334,0,2681.99,Bangalore,Mobile,POS,Yes,25,Electronics,0
TXN000335,4,1737.15,Mumbai,Desktop,POS,No,18,Travel,0
TXN000336,15,1004.52,Hyderabad,Tablet,POS,Yes,41,Electronics,0
TXN000337,18,1203.18,Kolkata,POS,Online,No,46,Travel,0
TXN000338,3,831.84,Kolkata,Mobile,POS,No,50,Entertainment,0
TXN000339,2,653.45,Kolkata,Tablet,Online,Yes,27,Electronics,0
TXN000340,16,2666.5,Bangalore,Tablet,Online,No,53,Electronics,0
TXN000341,16,2136.29,Delhi,Desktop,Online,Yes,27,Entertainment,0
TXN000342,11,3982.19,Chennai,Desktop,Online,Yes,56,Clothing,0
TXN000343,13,1104.2,Hyderabad,POS,Online,Yes,40,Clothing,0
TXN000344,20,1853.14,Hyderabad,Mobile,POS,No,28,Grocery,0
TXN000345,5,3421.78,Mumbai,Desktop,POS,No,51,Grocery,0
TXN000346,2,9909.53,Bangalore,Tablet,Online,No,37,Travel,1
TXN000347,8,1287.14,Bangalore,POS,Online,No,51,Clothing,0
TXN000348,4,1062.36,Hyderabad,Mobile,Online,Yes,62,Grocery,0
TXN000349,23,1789.63,Bangalore,POS,POS,No,45,Electronics,0
TXN000350,16,3860.69,Kolkata,POS,POS,Yes,67,Grocery,0
TXN000351,13,9775.21,Bangalore,POS,Online,No,42,Travel,0
TXN000352,20,2307.08,Chennai,Desktop,POS,Yes,46,Grocery,0
TXN000353,2,5020.97,Bangalore,Mobile,POS,Yes,33,Travel,0
TXN000354,0,1873.1,Delhi,Tablet,Online,Yes,68,Travel,0
TXN000355,19,122.02,Mumbai,POS,Online,Yes,46,Entertainment,0
TXN000356,20,6738.93,Hyderabad,POS,POS,Yes,39,Grocery,0
TXN000357,22,1026.96,Kolkata,POS,Online,No,35,Electronics,0
TXN000358,0,447.82,Mumbai,Desktop,POS,Yes,18,Travel,0
TXN000359,2,16688.02,Hyderabad,Desktop,Online,No,53,Travel,1
TXN000360,17,1280.37,Mumbai,Desktop,POS,Yes,28,Clothing,0
TXN000361,9,440.42,Hyderabad,Mobile,Online,No,33,Electronics,0
TXN000362,21,1119.9,Hyderabad,Mobile,POS,No,59,Travel,0
TXN000363,2,2163.64,Bangalore,POS,POS,No,51,Travel,0
TXN000364,7,276.2,Bangalore,POS,POS,Yes,62,Clothing,0
TXN000365,13,1304.47,Hyderabad,POS,Online,Yes,63,Entertainment,0
TXN000366,23,3315.61,Kolkata,Desktop,Online,Yes,33,Entertainment,0
TXN000367,17,7428.39,Kolkata,POS,Online,Yes,52,Food,0
TXN000368,14,1519.69,Mumbai,Tablet,POS,Yes,68,Grocery,0
TXN000369,21,2494.22,Hyderabad,POS,Online,No,50,Clothing,0
TXN000370,22,3032.32,Kolkata,Desktop,POS,No,24,Travel,0
