transaction_time,transaction_amount,device_type,channel,card_present,customer_age,merchant_category,is_fraud
6,4002.6,1,0,0,64,4,0
8,3776.88,1,1,0,67,0,0
6,2291.07,0,0,0,19,4,0
8,2036.18,2,0,1,58,3,0
7,10474.41,1,1,0,61,1,0
11,5153.72,3,1,0,33,3,0
1,3598.35,2,0,1,27,4,0
0,651.53,2,0,1,32,4,0
15,5140.58,3,0,0,46,1,0
22,4156.25,3,1,0,56,1,0
22,14494.93,3,0,0,28,0,0
23,428.13,0,1,1,66,4,0
4,3768.91,0,1,0,69,5,0
2,11601.61,0,0,1,37,2,0
11,1863.0,2,0,1,59,2,0
7,3966.14,0,1,0,44,2,0
21,11111.45,0,1,1,51,5,0
2,2378.8,0,1,0,55,4,0
0,3602.35,2,0,1,49,0,0
2,60.87,0,0,1,24,5,0
4,2199.82,1,0,1,25,4,0
14,886.34,1,1,0,44,2,0
13,422.08,0,0,0,58,4,0
2,3699.16,1,1,0,45,3,0
0,119.62,2,1,0,62,3,0
4,7057.38,1,1,1,37,4,0
22,2188.03,0,0,0,50,0,0
13,3134.33,3,0,1,58,1,0
6,876.82,2,1,0,39,2,0
8,603.39,1,0,1,52,1,0
14,838.16,0,1,1,28,3,0
14,793.04,2,0,1,39,0,0
9,5996.39,0,0,0,66,3,0
12,4644.17,0,1,1,19,0,0
18,5746.6,1,0,0,21,1,0
6,3982.63,2,1,1,34,3,0
16,3094.69,3,1,0,67,4,0
19,2251.53,3,0,0,60,1,0
3,925.62,2,0,1,28,4,0
4,3666.03,2,1,0,32,4,0
22,440.58,3,0,0,24,2,0
6,2146.56,0,1,1,57,0,0
12,651.76,2,1,1,30,5,0
14,2108.13,3,1,0,35,0,0
10,1044.03,1,0,1,27,5,0
3,164.89,1,0,0,20,2,0
12,2101.78,3,1,0,61,4,0
6,602.06,3,0,0,34,0,0
18,527.19,3,0,0,53,0,0
21,1455.31,0,0,0,27,4,0
1,1347.25,0,1,0,25,0,0
9,6051.27,0,0,1,54,2,0
12,2494.73,3,1,0,36,1,0
20,5784.13,3,1,0,28,4,0
5,476.41,2,1,1,44,0,0
11,1326.28,0,1,1,43,2,0
11,2431.27,0,0,1,56,4,0
19,498.62,3,0,0,62,4,0
10,411.09,0,1,0,20,2,0
22,3248.82,2,0,0,23,2,0
6,3182.51,1,0,1,68,5,0
0,800.34,1,0,1,32,0,0
0,772.91,1,1,0,39,0,0
19,4104.72,2,0,1,47,5,0
12,373.25,3,0,1,34,0,0
8,7702.13,3,1,1,28,1,0
2,8633.24,1,0,1,41,0,0
6,6143.65,1,0,0,20,2,0
5,709.74,1,1,0,61,0,0
7,50.83,1,1,0,55,3,0
8,8279.18,0,0,0,57,0,0
4,1264.65,0,0,0,41,5,0
0,1114.98,0,1,0,41,4,0
18,910.12,0,0,0,68,4,0
9,841.27,2,0,1,30,4,0
11,3979.02,3,0,1,56,2,0
23,7154.43,2,1,1,46,0,0
14,4626.13,1,0,1,58,5,0
21,3363.57,3,0,0,25,5,0
23,1018.01,0,0,1,25,2,0
8,2375.35,1,0,1,25,0,0
19,811.36,1,1,1,66,2,0
16,354.69,0,1,0,38,5,0
16,384.5,3,1,1,65,1,0
19,2777.27,1,0,1,48,4,0
11,117.72,0,1,0,65,4,0
6,10864.17,1,1,1,51,3,0
1,16188.76,3,1,1,47,1,0
2,485.53,2,0,0,66,3,0
16,1672.19,3,0,1,24,2,0
4,4384.04,1,0,0,64,1,0
16,9307.74,2,0,0,51,5,0
23,6658.07,3,1,1,63,3,0
16,882.13,1,1,1,58,1,0
16,267.14,1,1,1,67,3,0
1,1022.11,2,1,1,34,3,0
1,1724.69,0,1,0,19,4,0
21,1338.57,2,1,1,69,4,0
22,4459.92,2,0,1,38,0,0
4,894.36,0,1,1,40,0,0
0,5869.28,0,0,0,54,5,0
0,767.13,2,1,1,26,0,0
18,1345.21,0,1,1,42,4,1
1,1781.58,0,1,1,26,1,0
20,1032.62,3,0,0,50,4,0
11,4362.08,0,1,0,50,4,0
5,1580.6,3,1,1,29,4,0
22,6541.79,1,1,0,66,4,0
3,9938.62,0,0,1,67,4,1
22,5894.21,0,1,0,53,2,0
10,2218.36,3,1,1,58,5,0
23,2138.88,0,1,1,39,4,0
16,729.55,3,1,0,46,4,0
5,2691.51,1,0,1,31,4,0
23,9155.37,0,0,0,53,0,0
4,252.12,0,1,1,30,2,0
19,4188.52,2,0,1,35,2,0
1,6110.06,1,1,0,52,2,1
5,12960.76,3,0,0,49,5,0
21,1222.81,0,1,0,39,1,0
10,1318.19,0,0,1,28,4,0
15,783.22,0,1,0,49,3,0
15,4668.6,0,0,1,58,5,0
0,452.61,1,0,0,23,4,0
8,934.97,1,1,1,42,1,0
5,1049.79,2,1,0,23,3,0
15,1409.68,0,0,1,53,4,0
2,1642.81,1,1,0,20,1,0
19,2456.3,2,0,0,57,1,0
3,8891.15,2,0,1,23,3,0
18,852.18,1,1,1,65,5,0
2,4531.77,1,1,1,31,2,0
18,3384.65,1,1,0,26,1,0
19,370.07,1,0,1,37,3,0
6,4988.15,0,0,1,39,5,0
19,284.95,0,1,0,34,3,0
8,4028.86,2,1,0,18,1,0
0,3774.09,1,0,0,52,3,0
7,3507.77,0,0,0,57,2,0
6,971.76,2,0,0,26,3,0
17,2555.49,1,1,1,18,2,0
7,4301.14,0,1,1,30,4,0
0,3044.95,0,1,0,57,1,0
10,4893.6,0,0,0,59,1,0
17,3493.13,0,1,1,21,3,0
22,962.48,1,0,1,41,4,0
9,498.36,2,1,1,32,0,0
2,2998.85,2,0,1,34,0,0
6,4278.33,2,0,0,46,2,0
15,460.58,0,1,1,65,1,0
15,576.46,2,1,0,67,0,0
19,36.43,1,0,0,37,2,0
16,2276.25,1,0,1,28,1,0
1,2344.57,0,0,0,32,3,0
0,2079.9,0,0,0,39,1,0
15,1139.44,1,1,1,29,3,0
11,1674.86,1,0,0,21,3,0
4,4360.34,1,1,0,18,0,0
4,601.93,2,0,0,43,3,0
22,675.24,2,1,1,65,4,0
8,3298.64,3,0,1,28,4,0
8,6049.98,3,0,1,59,5,0
2,1248.34,3,0,1,38,5,0
18,8097.76,0,1,0,35,4,0
15,178.22,3,1,1,54,0,0
15,378.46,2,0,0,59,3,0
2,1848.33,2,0,1,48,4,0
19,3856.47,3,1,0,32,0,0
23,1390.09,2,0,0,67,5,0
21,2427.34,0,1,0,38,4,0
23,86.96,3,0,0,61,1,0
0,1858.77,2,1,1,35,1,0
23,833.49,1,0,1,20,0,0
19,2179.3,3,0,1,40,5,0
10,2238.59,2,1,1,29,4,0
16,4197.03,1,0,1,45,2,0
7,2328.55,3,0,1,38,5,0
3,2857.85,0,1,1,39,3,0
5,2262.81,3,0,1,34,5,0
7,13930.93,3,1,1,35,3,0
19,4705.17,1,1,0,31,3,0
2,4227.4,3,1,0,49,5,0
15,2960.62,2,1,0,24,4,0
2,2254.69,2,1,1,22,4,0
17,1268.25,3,1,1,40,0,0
13,4596.99,2,0,1,21,1,0
17,630.72,3,1,0,53,1,0
1,111.7,0,1,1,58,3,0
21,3593.69,2,0,0,41,2,0
2,469.44,0,0,0,62,2,0
15,7024.79,1,1,0,46,3,0
8,4417.93,3,1,0,22,0,0
3,2765.75,0,0,1,34,3,0
0,1130.3,0,1,1,35,4,0
3,3047.86,1,0,1,59,2,0
0,1943.7,1,1,0,44,1,0
13,1032.33,0,1,0,47,5,0
20,8705.58,1,1,1,29,0,0
15,529.82,3,0,0,32,4,0
19,4199.77,1,1,0,42,2,0
23,4828.89,1,0,1,60,5,0
7,9096.85,0,0,1,56,3,0
6,2391.64,2,1,1,64,3,0
2,2296.35,3,1,1,50,2,0
16,7588.05,0,1,0,63,4,0
0,4844.76,1,1,0,59,3,0
15,4327.15,3,1,0,47,3,0
11,4669.64,0,0,1,19,4,0
18,2038.8,0,0,1,23,2,0
21,126.9,1,1,0,68,2,0
22,662.93,2,0,0,41,0,0
21,3089.99,2,1,1,63,5,0
13,1513.37,1,1,1,36,3,0
5,2800.08,2,0,0,34,5,0
5,2406.73,0,1,0,18,4,0
12,1732.29,0,1,0,36,1,0
18,802.57,3,0,0,25,4,0
21,3807.77,0,0,1,69,2,0
7,7192.18,0,1,0,53,0,0
1,4408.55,2,0,0,59,3,0
20,383.63,1,1,0,26,2,0
0,2316.24,1,0,1,67,4,0
14,5412.09,3,0,1,62,4,0
0,2681.99,3,0,1,25,1,0
4,1737.15,2,0,0,18,3,0
15,1004.52,1,0,1,41,1,0
18,1203.18,0,1,0,46,3,0
3,831.84,3,0,0,50,5,0
2,653.45,1,1,1,27,1,0
16,2666.5,1,1,0,53,1,0
16,2136.29,2,1,1,27,5,0
11,3982.19,2,1,1,56,2,0
13,1104.2,0,1,1,40,2,0
20,1853.14,3,0,0,28,0,0
5,3421.78,2,0,0,51,0,0
2,9909.53,1,1,0,37,3,1
8,1287.14,0,1,0,51,2,0
4,1062.36,3,1,1,62,0,0
23,1789.63,0,0,0,45,1,0
16,3860.69,0,0,1,67,0,0
13,9775.21,0,1,0,42,3,0
20,2307.08,2,0,1,46,0,0
2,5020.97,3,0,1,33,3,0
0,1873.1,1,1,1,68,3,0
19,122.02,0,1,1,46,5,0
20,6738.93,0,0,1,39,0,0
22,1026.96,0,1,0,35,1,0
0,447.82,2,0,1,18,3,0
2,16688.02,2,1,0,53,3,1
17,1280.37,2,0,1,28,2,0
9,440.42,3,1,0,33,1,0
21,1119.9,3,0,0,59,3,0
2,2163.64,0,0,0,51,3,0
7,276.2,0,0,1,62,2,0
13,1304.47,0,1,1,63,5,0
23,3315.61,2,1,1,33,5,0
17,7428.39,0,1,1,52,4,0
14,1519.69,1,0,1,68,0,0
21,2494.22,0,1,0,50,2,0
22,3032.32,2,0,0,24,3,0
1,220.14,3,1,0,31,5,0
9,1256.68,1,0,0,37,2,0
1,3458.45,2,0,0,42,3,0
16,3991.57,3,1,0,30,3,0
7,1319.95,3,0,0,20,0,0
0,20.28,0,1,0,40,3,0
8,20.67,1,0,0,39,0,0
10,2317.35,0,1,0,65,1,0
21,2405.45,0,0,0,59,5,0
15,2433.9,0,1,0,53,4,0
6,3837.74,2,0,0,32,0,0
9,7625.17,2,0,1,23,0,0
22,13867.01,2,1,0,69,2,0
2,3622.6,0,0,1,27,4,0
17,2164.63,0,0,1,29,4,0
23,455.94,0,1,1,35,1,0
12,1454.38,2,0,1,32,5,0
6,2549.1,2,0,0,63,5,0
3,25681.57,0,1,0,62,2,1
12,407.4,3,1,1,47,4,0
19,4726.22,3,0,1,62,2,0
0,20549.02,3,1,1,36,2,0
7,4908.75,2,1,0,48,0,0
13,4372.01,2,1,1,41,0,0
15,897.97,1,0,0,37,2,0
13,10.1,3,1,0,26,1,0
11,768.5,0,0,0,42,5,0
18,4679.09,2,0,1,45,1,0
22,340.45,0,1,0,55,1,0
14,1053.44,1,0,0,64,3,0
1,2480.07,0,1,1,57,3,0
1,2601.15,1,0,0,64,3,0
22,2349.14,1,0,1,62,5,0
21,11871.61,2,1,1,58,5,0
18,37.09,3,1,1,55,3,0
21,2005.94,0,1,1,66,5,0
21,2106.08,2,1,1,63,5,0
16,1041.54,2,0,1,55,2,0
19,2233.77,3,1,0,46,2,0
9,3355.95,3,1,1,39,4,0
5,3351.15,1,0,0,53,0,0
14,275.88,2,1,1,28,2,0
21,4865.44,3,1,0,42,5,0
10,8008.36,3,1,1,56,3,0
4,395.84,0,0,1,21,1,0
0,1616.85,1,0,0,50,1,0
7,2150.78,0,1,0,50,5,0
20,434.46,2,0,0,28,3,0
11,2099.81,3,0,1,51,2,0
11,695.26,2,1,1,53,2,0
4,8216.81,0,0,1,38,0,0
6,1785.18,3,0,0,31,4,0
3,15836.28,2,0,0,59,1,0
5,142.88,1,1,1,36,4,0
12,409.46,1,1,1,41,4,0
19,1756.71,3,1,0,40,1,0
14,6222.99,3,0,1,45,2,0
2,2430.57,2,0,1,59,2,0
22,3954.15,3,1,0,27,4,0
7,1652.67,1,1,1,66,1,0
19,124.07,1,0,0,32,4,0
15,3130.78,3,1,0,21,2,0
12,3015.38,3,1,0,54,3,0
17,222.32,1,1,0,59,5,0
9,562.18,3,0,1,30,3,0
18,1939.68,2,0,0,48,4,0
16,1775.23,0,0,0,32,0,0
23,4188.03,1,0,1,55,5,0
18,1470.19,1,1,0,54,4,0
22,3265.69,3,1,0,34,1,0
4,3656.48,0,0,1,24,1,0
20,3106.95,0,1,0,40,0,0
22,2719.95,3,0,1,58,5,0
8,4914.8,3,1,0,23,2,0
11,3211.01,0,0,1,67,0,0
20,5390.64,1,0,1,61,2,0
0,3037.46,0,1,1,68,3,0
0,519.39,1,1,1,63,3,0
14,1110.78,3,0,1,22,2,0
1,1203.02,0,0,0,69,3,0
21,295.87,2,0,0,41,4,0
15,3535.95,3,0,0,38,1,0
7,2712.43,2,1,0,59,5,0
12,2673.0,2,0,1,50,1,0
20,1953.24,3,1,1,69,2,0
0,2350.03,2,0,0,59,3,0
15,24.36,1,1,0,35,3,0
6,303.6,3,1,1,21,3,0
4,3449.9,3,1,0,22,0,0
21,909.27,0,1,0,56,0,0
22,342.57,0,1,0,55,0,0
2,1195.42,0,0,1,34,5,0
11,881.03,2,0,1,49,4,0
15,89.44,3,0,1,64,1,0
18,1585.74,0,0,0,27,0,0
4,82.2,2,1,1,42,4,0
21,1.17,1,1,0,60,0,0
13,4717.49,0,0,1,23,3,0
4,1134.89,0,0,1,27,2,0
14,2515.12,0,0,1,51,0,0
16,1060.4,0,1,0,21,5,0
13,7978.8,1,1,0,59,2,0
19,3918.92,3,1,0,41,4,0
4,1382.16,0,0,1,23,4,0
11,709.55,3,0,1,39,5,0
15,444.83,1,1,0,40,5,0
15,4311.74,2,0,0,42,3,0
20,1810.12,3,0,0,50,5,0
6,791.75,3,1,1,35,4,0
3,7563.2,3,1,1,25,3,0
0,1483.36,3,0,1,34,3,0
4,2352.45,0,0,0,52,2,0
22,5851.55,2,0,1,64,2,0
9,5376.03,0,0,1,49,2,0
21,3047.95,1,1,1,54,1,0
4,6584.52,2,0,1,28,2,0
3,9115.8,0,1,1,40,2,0
1,8205.38,1,1,1,61,0,0
19,1287.77,1,1,0,22,4,0
9,1518.37,1,1,1,43,0,0
18,825.3,1,1,0,49,3,0
0,5438.89,2,1,1,42,3,0
23,389.73,0,1,0,37,1,0
4,1315.9,2,0,0,18,4,0
12,29.34,1,1,1,37,1,0
3,2708.99,0,0,1,18,1,0
15,3222.21,2,1,1,34,5,0
23,859.0,2,1,0,56,4,0
15,4003.73,0,0,1,41,5,0
22,1441.55,1,1,0,37,1,0
1,1120.64,3,1,0,23,3,0
16,9382.0,1,1,0,21,4,0
19,2665.24,0,1,0,62,2,0
23,872.34,2,1,0,19,1,0
11,12266.67,3,0,1,38,4,0
17,1470.86,3,0,0,51,4,0
2,3130.92,2,1,1,20,4,0
0,3860.48,2,1,0,30,1,0
0,1646.08,1,1,1,50,5,0
18,2303.07,1,0,0,49,0,0
10,822.45,3,0,1,57,2,0
4,1881.08,0,0,1,56,4,0
11,1116.67,1,1,1,46,1,0
2,2378.62,3,0,1,18,5,0
0,3324.99,3,0,0,51,3,0
0,2855.79,1,1,1,30,2,0
7,4497.94,2,0,0,43,4,0
9,127.25,0,1,0,38,0,0
10,245.57,0,0,1,27,4,0
11,689.43,2,0,1,22,2,0
12,12764.08,2,1,1,31,3,0
11,4832.34,3,1,1,34,2,0
13,7735.85,1,0,1,52,5,0
1,952.74,3,1,0,31,5,0
18,2558.94,1,1,0,34,4,0
17,2428.27,2,0,0,30,5,0
2,2528.56,3,1,1,63,4,0
22,3792.94,0,0,0,57,3,0
16,1502.53,3,0,0,63,2,0
7,3392.26,2,0,1,38,2,0
9,4659.7,3,1,1,62,3,0
1,1023.56,3,0,0,61,1,0
18,8742.08,1,1,1,37,3,0
8,2189.73,3,0,1,54,2,0
6,3958.85,0,0,0,48,5,0
3,3916.08,1,0,0,57,2,0
20,2498.91,1,0,0,31,3,0
17,1168.85,0,0,1,19,4,0
12,3298.29,2,1,1,26,5,0
10,273.99,1,0,1,58,2,0
23,11959.49,1,0,1,40,1,0
3,610.01,3,0,1,28,4,0
20,966.51,3,1,1,37,1,0
3,9266.12,2,1,1,18,5,0
9,619.38,1,1,1,25,3,0
4,559.32,0,0,0,20,5,0
8,4897.14,2,0,1,45,2,0
23,868.2,2,1,1,68,5,0
2,298.55,0,1,0,22,3,0
16,771.04,2,0,1,58,4,0
2,6577.79,1,1,1,22,2,0
15,986.84,3,1,1,20,3,0
3,3562.93,3,1,0,19,3,0
17,1508.27,1,0,0,50,0,0
16,911.92,0,1,0,66,4,0
6,466.62,1,1,0,48,2,0
23,10747.27,0,0,0,28,4,0
22,2208.89,0,0,0,64,0,0
4,365.67,3,1,0,22,5,0
11,664.99,2,0,1,29,4,0
16,1569.19,0,1,0,37,3,0
22,2356.91,0,1,0,35,2,0
12,601.93,2,0,1,67,2,0
22,976.06,0,1,1,59,2,0
2,4593.35,0,1,1,56,2,0
8,1621.18,3,1,1,69,0,0
16,4.21,3,1,0,48,2,0
16,166.35,1,0,0,51,4,0
19,1735.86,0,1,0,23,1,0
15,186.0,1,1,1,45,0,0
21,573.13,3,1,0,67,0,0
12,3904.5,0,1,0,35,4,0
18,1963.99,2,0,0,56,4,1
16,1976.02,3,0,1,31,2,0
3,2735.54,3,0,1,58,2,0
11,4660.86,0,0,1,64,1,0
8,518.01,0,1,1,49,2,0
18,570.02,2,1,1,51,0,0
11,388.29,0,1,0,23,4,0
8,8285.74,0,1,0,30,1,0
6,2583.21,1,1,0,39,1,0
13,291.65,3,0,1,49,3,0
19,747.87,1,0,1,45,1,1
18,3879.4,2,0,1,50,3,0
14,88.26,0,1,0,54,0,0
15,3880.11,1,0,0,18,1,0
20,7273.05,1,0,0,59,2,0
4,174.1,0,1,1,67,5,0
2,618.93,2,0,1,69,4,0
11,7.14,0,0,0,35,3,0
19,346.34,2,0,1,69,5,0
20,2879.09,3,1,1,25,3,0
3,137.56,3,0,1,68,5,0
20,1664.52,1,0,1,40,5,0
22,2099.92,2,1,1,19,0,0
15,7113.53,3,0,1,63,0,0
6,1929.02,2,0,0,38,5,1
12,461.36,3,1,0,23,0,0
20,1024.48,0,0,1,44,3,0
9,3346.01,2,1,1,48,2,0
6,356.74,0,1,1,40,3,0
13,790.89,3,1,0,50,3,0
4,16401.71,2,1,1,32,0,0
2,16.65,1,1,0,19,3,0
22,495.27,1,1,0,26,4,0
10,5567.66,3,1,0,46,1,0
10,320.69,0,0,1,64,2,0
17,102.66,1,1,1,61,5,0
14,387.98,1,1,1,44,3,0
11,3548.56,0,0,1,26,5,0
8,14933.28,3,0,0,41,1,0
9,2679.45,1,1,1,37,2,0
11,398.25,2,0,1,35,3,0
16,609.21,1,0,1,53,4,0
5,2314.51,0,0,1,57,5,0
6,3772.73,0,1,0,45,4,0
13,3262.24,3,0,0,27,4,0
12,2565.07,0,0,1,22,1,0
7,12864.47,3,0,0,21,0,0
9,662.07,2,0,0,33,3,1
8,569.5,3,1,1,34,2,0
17,5878.29,2,1,0,67,3,0
1,1030.95,0,0,0,62,0,0
4,1212.77,1,0,1,32,2,0
4,2386.66,0,0,1,34,1,0
5,1440.28,1,0,1,59,3,0
18,1017.52,2,1,0,46,5,0
7,7473.09,1,1,1,48,5,0
15,415.28,1,0,1,54,0,0
12,1554.0,3,1,1,62,1,0
0,8.91,0,0,0,32,2,0
21,4942.26,1,1,0,57,1,0
19,553.28,1,0,1,69,2,0
16,4448.28,1,0,1,50,0,0
6,482.63,0,0,0,51,5,0
12,1617.36,3,1,0,68,3,0
3,3907.9,0,1,0,41,4,0
3,947.46,0,0,0,41,1,0
5,1130.27,3,1,1,28,0,0
18,3301.75,1,0,0,45,2,0
11,623.66,0,0,1,67,2,0
21,9096.22,0,0,1,37,0,0
6,627.68,0,0,1,68,1,0
9,4158.83,3,1,0,69,4,0
18,4867.55,3,1,0,41,2,0
6,1406.99,2,0,0,60,0,0
2,509.66,1,1,0,41,1,0
12,544.22,3,0,1,38,1,0
12,12690.57,1,0,1,19,5,0
17,3877.43,2,1,1,69,2,0
19,1793.77,2,0,0,48,5,0
7,892.59,3,1,0,21,5,0
8,57.27,0,0,1,38,3,0
6,3330.21,2,1,1,36,5,0
0,9433.83,2,1,1,23,4,0
2,338.98,2,1,1,57,5,0
12,4213.27,2,0,1,62,3,0
16,499.0,2,1,0,40,1,0
23,4712.17,3,0,0,21,4,0
0,1388.84,0,0,1,44,2,0
5,3735.03,2,1,1,22,4,0
20,7822.54,0,0,0,55,3,0
5,2903.85,2,0,0,35,0,0
11,7603.51,3,1,1,35,2,0
12,803.73,0,0,0,46,0,0
12,11468.44,3,0,0,56,1,0
14,6187.12,1,0,1,34,4,0
20,341.43,1,0,0,59,5,0
15,1600.95,0,1,0,58,0,0
21,7853.1,3,0,0,69,4,0
20,244.01,0,1,1,60,1,0
10,1814.11,1,0,1,18,2,0
4,3857.65,3,1,0,30,3,1
3,102.06,0,0,0,27,4,0
2,4193.05,0,0,1,54,5,0
18,1344.5,2,1,1,24,3,0
19,860.53,3,1,1,38,0,0
17,2573.87,0,1,1,24,0,0
14,2357.97,3,0,0,20,1,0
8,6212.97,1,1,0,62,5,0
16,3381.06,0,1,1,50,2,0
13,1643.84,0,0,1,46,0,0
14,3150.65,1,0,0,65,2,1
0,4160.66,0,1,0,22,3,0
20,8309.55,2,0,0,46,0,0
21,3654.84,0,1,1,39,3,0
21,2354.95,1,0,0,43,2,0
2,1400.33,3,1,1,57,3,0
15,6662.56,2,1,1,34,3,0
22,4718.16,0,0,0,65,4,0
10,240.97,0,0,0,61,2,1
11,3607.33,0,1,0,37,5,0
9,2321.44,2,1,1,58,1,0
15,328.25,0,1,1,51,0,0
7,2496.96,3,0,1,26,1,0
5,641.46,2,0,0,59,0,0
11,3694.49,0,0,0,47,4,0
23,979.11,2,0,0,53,0,0
20,488.77,3,1,0,30,3,0
7,256.59,3,1,0,62,0,0
3,2024.74,0,0,0,19,4,0
7,668.06,2,0,0,24,5,0
17,5795.71,3,1,1,56,0,0
4,9.02,0,1,1,65,0,0
8,5566.76,1,1,0,53,3,0
3,2208.74,1,0,1,66,4,0
21,7658.74,0,0,0,39,0,0
16,686.77,1,0,0,20,1,0
8,323.67,2,0,1,51,3,0
0,2942.15,0,1,0,43,4,0
20,3679.96,3,1,0,62,4,0
19,1398.44,2,0,0,37,1,0
12,41.32,3,0,1,68,3,0
15,1567.49,3,1,0,34,1,0
12,798.88,2,1,1,38,1,0
13,1280.69,1,1,1,55,4,0
2,2120.24,2,0,0,22,0,0
5,3635.43,2,1,0,54,0,0
17,9908.83,0,1,1,68,0,0
18,466.45,2,1,0,53,3,0
4,3417.36,1,1,0,19,5,0
14,796.63,2,0,1,43,2,0
1,748.1,1,0,1,57,3,0
9,3011.71,1,0,0,66,3,0
23,4488.32,2,0,1,40,1,0
17,11421.24,1,0,0,59,5,0
12,4393.82,1,0,0,46,4,0
4,513.49,1,1,1,55,4,0
22,766.24,3,0,0,68,0,0
23,4298.77,0,0,1,30,2,0
0,2245.9,1,1,0,47,0,0
21,1050.41,2,0,1,48,4,0
0,1914.75,3,1,0,58,2,0
17,7391.36,1,1,1,44,4,0
14,4226.84,0,1,0,57,4,0
16,1797.32,0,1,0,61,0,0
10,11820.33,2,0,1,43,2,0
20,4752.4,1,1,1,33,1,0
21,17.66,2,1,1,35,3,0
16,357.59,0,0,1,44,2,0
12,2422.1,1,1,0,51,3,0
0,1292.14,1,0,1,51,1,0
1,5022.87,2,0,0,26,5,0
